0Invert X|反转X轴
Compete in a battle against each other and the elements.<LINE>In this mode points are awarded for food items consumed,<LINE>with surviving players always ranking above dead players.<LINE>New levels, items and creatures can be unlocked in the<LINE>single player campaigns.|在和周围环境的激战中彼此角逐。<LINE>该模式中，吃下食物即可得分，<LINE>且存活的玩家会获得更高的排名。<LINE>关卡、物品和生物可于剧情模式中解锁。
No items except what you place in the editor|只有你在编辑器中放置的物品
Allow players above a specific score to exit|允许玩家超过特定分数后离开
MenuModList_ModButton_NonMouse_Blank_Console|按“左方向键”移动至该内容的切换按键
ConfigTabController_TabSelectButton_NamedTab|切换至标签<TabName>
This mod cannot be uploaded to the Workshop.|此模组无法上传至创意工坊。
It's still warm... this was in use recently.|还有余温……近期内被使用过。
W|胜
L|败
Press the MAP button to select the shelter you wish to continue from|按地图按键选择你想继续游戏的庇护所
These are recommended starting points based on different playstyles.|这些是根据不同的游玩风格推荐的基本预设。
It also largely negates the game's difficulty curve and progression.|并且在很大程度上否定了游戏的难度曲线和进程。
(Normally requires finding Green unlock tokens in the campaign maps)|（通常需要在剧情地图中找到绿色代币）
“Go west, past the Farm Arrays and then down deep into the earth...”|“向西走，穿过农场阵列。然后深入地下……”
JUMP/THROW buttons - Switch layers<LINE>PICK UP button - Select shelter|跳跃/投掷按键 - 切换层级<LINE>拾取按键 - 选择庇护所
Allow passing any gate for free, regardless of your current karma level|无视当前业力等级，允许随意穿行任意业力门
Hide the remaining cycle time while in maps that are safe from the rain|在无雨地图中隐藏降雨倒计时量谱
And this one is fresh! It was not long ago this data was written to it!|以及这颗好新！里面的数据不久前才被写入！
Please sign in to PlayStation™Network to view leaderboards.|请登录PlayStation™Network查看排行榜。
Progress towards Trophies will only be tracked for player 1|只会跟踪玩家1的奖杯进度
This may SIGNIFICANTLY alter your experience with the game.|这可能会显著改变你的游戏体验。
(Normally requires completing previous campaigns to unlock)|（通常需要完成前置剧情流程解锁）
Stop doing... this, or I... will not speak... to you again.|别……这样了，否则我……不会再和你……说话了。
You have been signed out from PlayStation™Network. Please connect to PlayStation™Network to view Leaderboards.|你已登出PlayStation™Network。请连接到PlayStation™Network以查看排行榜。
Items that typically attach to the terrain with a stem will spawn with their stems when placed in Sandbox mode|通常以茎干形式生成在地形上的物品在沙盒模式中会连同其茎干一起生成
... You're getting quite good at this you know. A little archeologist beast.<LINE>Now, let's see what it says.|……你越来越擅长这个了。考古的小野兽。<LINE>我们来看看上面写了什么。
You cannot use PlayStation™Network features in this application due to age restrictions.|由于年龄限制，你无法使用该应用程序的PlayStation™Network功能。
The following cheats unlock content you would normally unlock via finding unlock tokens.|以下作弊信息可以解锁你通常通过寻找解锁代币才能获得的内容。
ConfigMenuTab_ModPercentageButton_MouseDisableAll|点击以禁用所有模组
This mod does not have any configurable settings.|此模组没有自己的拓展用户界面或配置。
Thank you little creature. I must resume my work.|谢谢你，小生灵。我得继续工作了。
Thank you. I must ask you... Don't do that again.|谢谢你。我必须请求你……不要再那样做了。
Stops Scavengers from being able to steal the spear off of Hunter's back|拾荒者不会偷走猎手背上的矛
Allow throwing spears upwards during a backflip in addition to downwards|使空翻时除了向下，也可以向上投矛
Gives additional options for the directions and ways that objects can be thrown in certain circumstances|在特定情况下，为可投掷物品提供额外的投掷方向和方式
Periodically shows tips and tutorials during the loading screen between cycles|在雨循环之间的加载界面定期显示教程提示
Adds an additional trajectory of throwing grenades if the up direction is held|当按住上方向键时，增加手雷的投掷抛物线
Introduces a few additional in-game tutorial messages for certain mechanics and scenarios|针对某些机制和场景引入一些额外的游戏内教程信息
All cycles will have the same duration, and will always use the longest duration possible|雨循环的持续时间将始终保持一致，且始终使用尽可能长的时间周期
You should try the 'Monk-style Gates' option first before resorting to using this option.|在尝试使用该选项前，你应该先尝试“僧侣式业力门”选项
Increases the amount of time that rocks and snail pops can cause some creatures to be stunned for|增加部分生物被石头或蜗牛震荡击昏的时长
Dynamic difficulty is influenced by number of regions visited more than number of cycles survived|已探索的区域数量将优先于存活的雨循环数对动态难度造成影响
Gives a chance of escaping from different grasps by rapidly wiggling with the movement buttons|快速摇动移动键，有概率挣脱各种捕捉抓握
Multiplies the total duration of the shortened rain timer by this amount in Rivulet's Campaign|在溪流的流程中，使被减短的雨时计乘以这个数值
Prevents Jetfish from being able to knock items out of your hands|喷射鱼不会击落你手中的物品
Changes the amount of cycles Hunter starts with in their campaign|改变猎手在剧情起始时的雨循环数
You're stuck in a cycle, a repeating pattern. You want a way out.|你陷入了一个轮回，一种周而复始的模式。 你想要一条出路。
Another pearl! You want me to read this one too? Just a moment...|又一颗珍珠！你想让我也读一下这个吗？稍等一下……
A pearl... This one is crystal clear - it was used just recently.|一颗珍珠……如此晶莹剔透——这颗珍珠直到最近还在使用。
Gives a small chance of being able to survive a direct attack from a dropwig|被落网虫直接攻击时增加低存活概率
Use the throw button to activate tongue controls rather than the jump button|使用投掷键而非跳跃键控制舌头
Passages bring all key items in a shelter with you to the new destination, rather than just the stomach item|使用通行证传送会将庇护所中的所有关键物品带到新目的地，而不仅仅是胃里面的物品
It's a piece of sharpened rebar... What is it you want to know?<LINE>You seem proficient enough at using it.|这是一根削尖的钢筋……你想知道什么？<LINE>你似乎可以足够熟练地使用它。
Key items are tracked on the map and will respawn on subsequent cycles if they are lost, at the location they were lost|在地图上追踪关键物品，如果丢失，将在随后的循环中在丢失的位置重新生成
Centipedes will release you if you go through a pipe while you are grabbed by one|如果蜈蚣抓着你穿过管道，蜈蚣会把你放开
Prevents the chance of the region being flooded during a shelter failure scenario|在庇护所故障时，该区域不会被洪水淹没
Increases the amount of time before you are forced to come up for air while drowning|增加溺水后到强制死亡前可用于浮出水面的时间
Makes the death gradients on bottomless pits more visible|无底洞上方的死亡渐变色提示更加明显
Allow throwing spears directionally while in zero gravity|无重力环境下可以有方向地投矛
This option disables multiple core mechanics of the game.|该选项会禁用多个游戏核心机制。
It is strange... I'm remembering myself, but also... him.|奇怪了……我想起了自己，但也……想起了他。
Adds additional deer behavior, like being able to influence their behavior by wiggling in their antlers|调整雨鹿的习性，并添加了影响其行动的额外机制
You better go, <PlayerName>! I will be fine.<LINE>It's not pleasant, but I have been through it before.|你最好赶紧走，<PlayerName>！我会没事的。<LINE>虽然这不好受，但我已经习惯了。
Vulture Grubs have a chance to summon stronger vulture types in arena mode if those types are unlocked|如果更强的秃鹫种类已解锁，唤鹫虫可在竞技场内召唤更强的秃鹫
If enabled, all scavenger corpses in Artificer's campaign always have the maximum possible karma value|启用后，工匠剧情中的拾荒者尸体始终具有可能的最高业力值
Allows certain passages to gain progress even before the Survivor passage has been achieved|允许在未完成求生者通行证的前提下完成其他通行证
Splashing in water can attract the attention of nearby creatures that hear the noise of the splashes|溅水声会引起周围听到水声的生物的注意
Settings designed to make the game significantly easier, but may weaken the overall game experience.|旨在使游戏更轻松的设置，但可能会降低整体游戏体验。
!\"#$%&'()*,-./0123456789:;<=>?@ABCDEFGHIJKLMNOPQRSTUVWXYZ\\_abcdefghijklmnopqrstuvwxyzÁáÉéÍíÑñÓóÚú®|
Reduces the volume for the sound effects of gates and shelters opening|降低业力门/庇护所开启时的音效音量
Let us try again - not that it has worked well before. I was saying...|我们再试一次——虽然你之前也没有好好听。我刚才在说……
If you are having trouble, you may want to try The Monk campaign first. It may help you get a better feel for the game and ease you into Rain World.|如果遇到困难，可以先尝试僧侣剧情。它可以帮助你更好地感受游戏并轻松上手雨世界。
If enabled, scavenger corpses in Artificer's campaign don't lose karma after each cycle|启用后，工匠剧情中的拾荒者尸体不会在雨循环后损失业力
(Normally requires delivering pearls and finding broadcast tokens in the campaign maps)|（通常需要在剧情地图中运送珍珠和解锁广播）
Know that this does not make you special - every living thing shares that same frustration.<LINE>From the microbes in the processing strata to me, who am, if you excuse me, godlike in comparison.|要知道这并不会让你显得与众不同，从处理层中的微生物，到像我这样的——请见谅<LINE>——相对来说如神一般的存在而言，所有活物都面临着相同的困境。
Look at me. The only thing I have to offer is my words.<LINE>If you come here, I must assume you want me to speak? So then would you PLEASE listen?<LINE>If not, you are welcome to leave me alone.|看着我。我能提供给你的只有我的话语。<LINE>如果你来到这里，我必须假设你想让我说话？那你为什么不能好好听呢！<LINE>如果不是的话，你可以走了。
The bad news is that no definitive solution has been found. And every moment the equipment erodes to a new state of decay.<LINE>I can't help you collectively, or individually. I can't even help myself.|坏消息是，我们还没有找到确定的解，而我们的设备状况时时刻刻在腐蚀衰败中每况愈下。<LINE>我救不了众生，也救不了你。我甚至救不了我自己。
At the end of time none of this will matter I suppose, but it would be nice if you took another way out.<LINE>One free of... frolicking in my memory arrays. There is a perfectly good access shaft right here.|到了最后我想这些都无足轻重，但你若能从另一条路，一条不会……<LINE>让你在我的内存阵列里嬉戏的通道出去会比较好。这里就有个好得不能再好的通道井。
For you though, there is another way. The old path. Go to the west past the Farm Arrays, and then down into the earth<LINE>where the land fissures, as deep as you can reach, where the ancients built their temples and danced their silly rituals.<LINE>The mark I gave you will let you through.|但对你，或许还有一条出路可走。一条古老的道路。往西走，穿越农场阵列，然后，在那大地崩裂之处，深入地下，尽可能地深。<LINE>在那里，那些老东西建造了他们的庙宇，一个进行愚蠢的仪式舞蹈的地方，<LINE>我给你的印记会让你一路通行无阻。
The good news first. In a way, I am what you are searching for. Me and my kind have as our<LINE>purpose to solve that very oscillating claustrophobia in the chests of you and countless others.<LINE>A strange charity - you the unknowing recipient, I the reluctant gift. The noble benefactors?<LINE>Gone.|先说好消息。某种意义上，我就是你在寻找的东西。我和我的同族之所以<LINE>存在，就是为了解决那在你和其他众生心中时刻颤栗着的幽闭恐惧症。<LINE>真是一次怪异的施舍——你是个一无所知的收件人，而我是份不情不愿的礼物。至于那些尊贵的施舍者呢？<LINE>他们早就不在了。
You must be very brave to have made it all the way here. But I'm sorry to say your journey here is in vain.|你能穿过艰难险阻来到这里，一定很勇敢。但很遗憾，你来到这里的旅途是徒劳的。
It is good to have someone to talk to after all this time!<LINE>The scavengers aren't exactly good listeners. They do bring me things though, occasionally...|过了这么久，能遇到一个可以倾诉的对象真是太好了！<LINE>拾荒者们不算是什么好听众，虽然他们偶尔会给我带来一些东西……
I'm still angry at you, but it is good to have someone to talk to after all this time.<LINE>The scavengers aren't exactly good listeners. They do bring me things though, occasionally...|我还在生你的气，但这么久了，终于有个谁可以说说话的感觉还是挺好的。<LINE>拾荒者们不算是什么好听众，虽然他们偶尔会给我带来一些东西……
...you ate... me. Please go away. I won't speak... to you.<LINE>I... CAN'T speak to you... because... you ate...me...|……你吃了……我。请你离开这里。我不会和你……说话了。<LINE>我……不能和你说话……因为……你吃了……我……
First you hurt me, then you come back to annoy me.<LINE>I wish I knew what was going on in that little head of yours.|你先是伤害了我，然后又回来惹我生气。<LINE>我真想知道你的小脑袋里都有些什么。
It's a weapon made with fire powder. Did the scavengers give this to you?<LINE>Be very careful if you have to use it!|这是用火药制成的武器。是拾荒者给你的吗？<LINE>若到了不得不用的时候，请务必小心！
Even the scavengers that come here from time to time leave with nothing. But... I have told you that already, haven't I?|就连时不时出没于此的拾荒者，也都一无所获。但……我已经和你说过了吧，没错吗？
I do enjoy the company though. You're welcome to stay a while, quiet little thing.|不过我很享受陪伴。欢迎你多呆一会儿，安静的小家伙。
I have had scavengers come by before. Scavengers!<LINE>And they left me alive!<LINE>But... I have told you that already, haven't I?|曾经有拾荒者来过，那可是拾荒者啊！<LINE>它们居然放过了我！<LINE>但……这件事我跟你说过了吧，对吗？
You must excuse me if I repeat myself. My memory is bad.<LINE>I used to have a pathetic five neurons... And then you ate one.<LINE>Maybe I've told you that before as well.|如果我重复自己请见谅。我的记性很差。<LINE>我曾经只有可悲的五个神经元……然后你吃了一个。<LINE>也许我也和你说过这个了。
Or actually I'm sure he would, but he has so many of these~<LINE>it doesn't do him any difference.<LINE>For me though, it does! Thank you, little creature!|或者其实他很介意，不过他有那么多神经元~<LINE>这对他来说无关痛痒。<LINE>但对我来说可是救命稻草！谢谢你，小生灵！
You come here, but you can't be respectful enough to listen to me.<LINE>Will you listen this time?|你来了，但你却不能足够尊重我，听我讲话。<LINE>这次你会乖乖听我说话吗？
Strong and quick, requiring a steady diet of meat. But the stomach wont be your only<LINE>concern... this path is one of extreme peril where every cycle eats away at an ominous countdown.|强壮而敏捷，新陈代谢旺盛，需要稳定的肉类供给。但<LINE>果腹不会是你面临的唯一问题...在危机四伏的旅途之中，每一循环也都在不详的倒计时中流逝。
Custom colors|自定义颜色
tips-distract|可以用各种各样的方法使挡路的掠食者远离。<LINE>例如制造干扰、用响声吸引它们的注意力，<LINE>或是牺牲其他小生物等方法。
tips-hoarding|即使你已经吃饱了，你也可以在庇护所里储存一些额外的补给，<LINE>以使未来的雨循环更轻松。
tips-prepared|不要空手踏上旅途。手中是否有可用的物品可能会决定你的生死……<LINE>你永远不知道什么时候可能需要它们。
tips-backflip|在快速转向时按下“跳跃”键<LINE>可以进行后空翻，它的高度略高于正常的跳跃。<LINE>后空翻也可用于进行翻滚。
tips-vertpole|在后空翻的最高点向下投矛，可以在地面上形成<LINE>一个竖杆。使用此方法可以使你能到达更多地方。
tips-wanderer|漫游者目睹了这个世界的每一个角落以及其中万物。<LINE>对他们来说，前方的旅程只不过是迈出的另一步而已。
Body|身体
Eyes|眼睛
HIGH|高
Restore Default|恢复默认
Back to options|返回选项
tips-spearstick|将矛插到墙面可搭建临时的攀爬杆。使用此方法<LINE>可以开辟新路线并到达以前无法到达的位置。
tips-batharvest|使用投掷物将蝠蝇从空中击落可以更简单的捕获它们。<LINE>用长矛刺穿它们可以一次捕捉多只。
tips-reputation|你的行为会在生态系统的成员中建立你的声望。<LINE>即使对你的敌人也要慷慨，也许你的善意会得到回报。<LINE>否则你可能会被所有生物追杀。
tips-throwboost|在半空中投掷物品会使你向着投掷方向轻微加速。<LINE>你可以使用该操作扩大跳跃的水平距离。
tips-tunnelturn|在狭窄的通道中爬行时，<LINE>按住“跳跃”键和与朝向相反的方向键即可转身。<LINE>面对你爬行的方向时，你的移动速度更快。
tips-powerthrow|在滑行过程中向前投掷长矛会给长矛额外的速度<LINE>和冲击力。这可以使生物昏迷更长时间，并且可以<LINE>穿透某些防御。
tips-superslide|在滑行过程中向后抛出一个物体可以显著提高<LINE>滑行的距离。
tips-wallpounce|跃向墙壁，然后在接触时直接轻触“跳跃”键，同时保持方向键指向墙壁<LINE>可以大大增加返墙跳的反弹力。
HUE|色调
SAT|饱和度
LIT|亮度
LOW|低
CHOOSE|选择
MEDIUM|中
Oh no.|哦不。
Analog Sensitivity|控制器灵敏度
tips-deathrecovery|食物链很复杂。如果你幸运的话，即使在被一个生物抓住之后，<LINE>如果它卷入冲突或自己被吃掉，它也可能会失去对你的控制！
tips-utilitycreats|并不是所有生物都是你需要躲避的掠食者。在你的旅程中，<LINE>有许多生物可能也会使你受益。
FPS Limit|帧数限制
Unlimited|无限制
tips-drop|同时按下“下方向键”和“拾取”键将会把你手中的物品放在地面上，<LINE>而不会把它扔出去。
tips-roll|在从很高处坠落时，按住“斜下方向”可以在<LINE>与地面接触时翻滚。这将减少坠落的影响并为你<LINE>提供额外的机动性。
tips-swim|在水下按照蛇形运动可以提高你的游泳速度。<LINE>你需要有节奏地上下或左右摆动身体。
tips-monk|僧侣踏上的是一条猎物之路，在荒野中觅食求生，<LINE>但在猎食者横行的世界中，这并不能保证其自身安全。
Quality|品质
Backgrounds|背景
tips-crouch|你不需要按住“下方向键”即可保持蹲伏。轻触一次“下方向键”进入爬行<LINE>状态，然后轻触“上方向键”即可返回站立状态。
tips-escape|如果可以的话，最好避免对抗并逃离战斗。<LINE>许多掠食者都很强大而且很危险，所以别太冲动。
tips-cheese|利用管道与追捕你的掠食者周旋。这可能是<LINE>甩掉它们的一种简单方法。
tips-cannon|在从管道出来的瞬间轻触“跳跃”键，可以将自己快速<LINE>向外推动。
tips-martyr|殉道者舍弃了生存欲，慢慢凋零直至化作尘土。
tips-hunter|猎手踏上的是一条掠食者之路，但在这个残酷无情的世界里，<LINE>其捕猎的战利品并不总是能保证自己的生存。
tips-outlaw|暴徒生活在战场上。所有靠近他们的生物都会被消灭，无论是敌是友。
tips-friend|朋友会拥抱彼此和未知之物。这个世界是残酷无情的，<LINE>但只要在一起，你就可以找到保护和慰藉。
Old tongue controls?|是否使用传统的舌头控制方式？
Enable wallpouncing?|是否启用弹墙跳？
Enable speedrun timer?|是否启用速通计时器？
CONFIGURE TITLE SCREEN|配置标题界面
Keep your friend safe!|保护好你的朋友！
I must resume my work.|我得继续工作了。
Enable shelter item transport?|是否启用庇护所物品运输？
<CapPlayerName>, are you okay?|<CapPlayerName>，你还好吗？
Enable slug senses?|是否启用蛞蝓感知？
CONFIGURE SUB MENUS|配置子菜单
Show tips between cycles?|是否在雨循环间显示提示？
Enable Developer Commentary?|是否启用开发者评论？
Change graphics quality|更改图形品质
Take your pet with you.|带走你的宠物。
Change menu background images|更改菜单背景图像
Display a speedrun timer at the top of the screen during gameplay?|确定要游玩期间在屏幕上方显示速通计时器吗？
Activate tongue abilities with the throw button instead of the jump button?|确定要使用投掷按键而不是跳跃按键来激活舌头控制吗？
Allow passages to transport key items in your shelter to your new destination?|确定要允许使用通行证传送时将你庇护所中的关键物品运输至新目的地吗？
Allow nearby creatures and key items to be visible as icons on slugcat's memory map?|确定要允许附近生物和关键物品在蛞蝓猫的记忆地图上显示为图标吗？
Enable slugcat's wall pouncing ability from legacy Rain World versions?|确定要启用传统雨世界蛞蝓猫的返墙跳能力吗？
Spawn developer commentary collectables in the single player campaigns?|确定要在单人剧情中生成开发者评论收藏品吗？
Periodically show survival hints and explain gameplay mechanics for new players?|确定要定期向新玩家展示生存提示并解释游戏机制吗？
Configure the background image used on the title screen|配置标题界面使用的背景图像
Configure the background image used in the sub menus|配置子菜单使用的背景图像
Wiggling around quickly might startle this creature.|快速摆动可能会吓到这个生物。
I am afraid to ask how you brought your friend here.|我真不敢问你是怎么把你朋友带过来的。
tips-clock|按下“地图”键还会显示其他信息，例如你的饱食度。<LINE>左下角的圆点表示距离降雨的所剩时间。<LINE>请密切关注它！
tips-rocks|石头可能不是一种致命的武器，但它十分实用。它可以用来<LINE>分散注意力、偏转攻击、缴械、击晕、暴露弱点、将生物<LINE>从杆上和墙边击落等等！
tips-audio|声音线索通常最先暗示潜在危险，<LINE>甚至会出现在你能亲眼看见危险之前。仔细辨别它。
tips-slide|在运动中按下“斜下方向”键并按下“跳跃”键即可开始滑行。<LINE>你将在短时间内快速滑过地面。
tips-noise|生物不仅可以通过视觉探测到你的存在，还可以通过声音。<LINE>请注意不要太大声，否则你可能会引起不必要的注意。
tips-saint|圣徒踏上的是一条和平之路。伤害其他生物就是伤害自己。
tips-nomad|流浪者经历了一个不断变化的世界。从此生到来生，<LINE>宛如在目标未知的无尽旅程中迈出一步。
Calm down!|冷静点！
tips-pipeflash|当另一端有危险时，管道入口会闪烁。闪烁的颜色<LINE>可以提示你危险的类型。
tips-foodtypes|蝠蝇和悬挂的水果远不是唯一的食物来源。有些植物<LINE>和生物可以食用，但需要满足特定条件。请多多尝试吧。
tips-handorder|你右手上的物品是会优先使用或扔出的物品。<LINE>连续轻触“拾取”键可以在你的双手之间交换物品。
tips-slideleap|在滑行或翻滚时轻触跳跃可以使其变为长距离跳跃。使用此方法<LINE>可以最大化你的机动性并迅速通过一大段距离。
tips-turnboost|快速转向将使你在新方向上短时间内<LINE>获得轻微的速度提升。之后持续轻跳可以使该<LINE>提速效果保持更长时间。
tips-chieftain|酋长会拥抱未知的力量和社区。他们建立了新的纽带，<LINE>成为了这个世界的一部分，也便将继续生存下去。
tips-swallow|按住“拾取”键几秒钟，可以将不可食用的小物品<LINE>存放在你的胃中以确保安全。同样，再次长按<LINE>也可以将物品重新吐出来。
tips-breathe|跳下水之前注意你的呼吸。如果你在大幅喘息，<LINE>请先停留一会儿让自己喘口气。
tips-polehop|在落到横杆之前轻触“跳跃”键可以让你从杆子上弹起。<LINE>此方法可以与其他操作组合来快速跳过横杆。
tips-scholar|学者寻求了解世界曾经的样子。他们凝视<LINE>结晶的历史，并在其中寻找新的意义。
tips-deathpenalty|在你准备好继续前进之前，死亡无关紧要。你可以花点时间<LINE>将谨慎抛之脑后，去进行实验、探索、<LINE>了解地图布局、了解食物位置等等。
tips-shelterstore|存放在庇护所中的物品会在雨循环之间保留，并且<LINE>即使你离开该区域，它们也会持续存在。它们是能让你的<LINE>贵重物品免受雨淋的唯一安全场所！
tips-dragonslayer|屠龙者热衷于狩猎。他们已经征服了这个世界的野兽。
What did you do!?|你做了什么？！
Stop it! Go away!|住手！走开！
tips-tunnelboost|在狭窄的过道中爬行时轻触“跳跃”键，<LINE>可以让自己的速度略微提升。
tips-slidecancel|在滑行过程中，可以快速轻触“跳跃”键和与运动方向相反的方向键。<LINE>这将取消滑行并使你回到滑行开始的位置。
The use of some objects may not be obvious at first glance, experiment with everything you find!|某些物体的用途乍一看可能并不明显，请试着与你发现的所有物体互动吧！
There are many paths to explore in this world.|在这个世界上有许多可以探索的路径。
If you are struggling, try returning to a previous region.|如果你遇到困难，请尝试返回之前的区域。
You may find a new path forward, or discover something that makes your survival here easier.|你可能会找到一条新的前进道路，或者发现一些能让你在这里更容易生存的东西。
However, there is nothing that stops you from overcoming this region's challenges as you are right now.|然而，没有什么能阻止你如现在般继续对该区域的挑战迎面而上。
Your friend is very large, how did you fit them in here?|你的朋友很大，你是怎么把它塞进来的？
How did you bring that in here... I think it is as surprised as I am!|你怎么把它带进来的……我想它和我一样惊讶！
Oh, that is not a friend...|哦，那可不是朋友……
Oh...|哦……
I do enjoy the company of you and your friend though, <PlayerName>.|我确实喜欢你和你的朋友来陪我，<PlayerName>。
Is this your friend, <PlayerName>?|这是你的朋友吗，<PlayerName>？
Best of luck to you, and your companion. There is nothing else I can do.|祝你和你的同伴好运，我也做不到更多了。
Please do not bring more wildlife into my chamber.|请不要把更多的野生动物带进我的房间。
How did you fit them inside here anyhow?|你到底是怎么把它弄进来的？
Take your friend with you. Please. I beg you.|带走你的朋友吧。拜托。算我求你的。
You are missing one or more of the mission's requirements|你未满足一项或多项使命要求
Burdens are modifiers you can add to your Expedition to increase the difficulty. In return, a multiplier is applied to your final score, increasing the number of points it's possible to earn.|你可以添加负担来增加探险难度。作为回报，你的最终分数会提高倍数，从而增加可能获得的分数。
Challenges can be re-rolled for new ones by selecting them. The difficulty of the new challenge can be adjusted by dragging the difficulty slider, more difficult challenges award more points.|通过选择既有挑战，你可以抽取新挑战。新挑战的难度可以通过拖动难度滑块来调整，难度越高的挑战奖励的分数也越高。
Start the expedition with a charged Electric Spear. The spear is extremely useful for dealing high amounts of damage and stunning creatures. The spear can be recharged by impaling centipedes.|持有电能长矛开始探险。这种长矛可极有效地造成大量伤害和击晕生物，可以通过刺穿蜈蚣来充电。
Gives The Artificer's explosive double-jump ability to other characters, activated by pressing JUMP and PICK UP whilst in the air. Very useful for traversal and escaping dangerous situations.|将工匠的爆炸性二连跳能力赋予其他角色，通过在空中按“跳跃”和“拾取”键激活。对于穿越地形和逃离危险情况非常有用。
Custom|自定义
BONUS:|加成：
HIDDEN|隐藏
LOCKED|锁定
Track:|曲目：
Snails|蜗牛
TIME :|时间：
DOOMED|不幸
HUNTED|被狩猎
MUSIC:|音乐：
QUESTS|任务
-CUSTOM-|-自定义-
LEVEL UP|升级
- PAGE -|-页-
DESELECT|取消选定
Slugcats|蛞蝓猫
Vultures|秃鹫
Egg Bugs|蛋虫
Dropwigs|落网虫
Batflies|蝠蝇
Firebugs|火虫
BURDENS:|负担：
a neuron|一个神经元
MISSIONS|使命
CONTROLS|控制方式
-EXPEDITION-|-探险-
-CHALLENGES-|-挑战-
-MILESTONES-|-里程碑-
Now Playing:|当前播放：
FINAL SCORE:|最终分数：
Five Pebbles|五块卵石
Pink Lizards|粉蜥蜴
Blue Lizards|蓝蜥蜴
Cyan Lizards|青蜥蜴
Monster Kelp|红树
Lantern Mice|光鼠
LEVEL <next>|等级<next>
Vulture Mask|秃鹫面具
Karma Flower|业力花
High Agility|高敏捷性
Perk: <perk>|增益：<perk>
Birdwatching|鸟瞰
REQUIREMENTS|要求
-PROGRESSION-|-进度-
-UNLOCKABLES-|-可解锁-
Apex Predator|顶级掠食者
Green Lizards|绿蜥蜴
White Lizards|白蜥蜴
Black Lizards|黑蜥蜴
White Cicadas|白蝉乌贼
Black Cicadas|黑蝉乌贼
King Vultures|魔王鹫
Large Spiders|狼蛛
Stowaway Bugs|偷渡虫
common pearls|普通珍珠
Item Crafting|物品制造
Vulture Masks|秃鹫面具
Echo Sighting|见证回响
Overall Score|总分数
Spear Pinning|长矛钉刺
Guiding Light|指引之光
Normal: <num>|普通：<num>
Hidden: <num>|隐藏：<num>
-FILTERS-|-筛选器-
Food Tour|食物旅行
MILESTONE|里程碑
Rain Deer|雨鹿
Aquapedes|水蜈蚣
Slow Time|减缓时间
Fly Lures|蝠蝇饵
Jellyfish|水母
Mushrooms|蘑菇
Missions:|使命：
EXPEDITION|探险
MILESTONES|里程碑
Salamander|蝾螈
Scavengers|拾荒者
Centiwings|飞蜈蚣
Tube Worms|管虫
Leviathans|利维坦
Inspectors|监察者
Back Spear|背后长矛
Joke Rifle|玩笑步枪
AVAILABLE:|可用：
Puff Balls|孢子果
CHALLENGES|挑战：
BEST TIME:|最佳时间：
CONFIGURE<LINE>PERKS & BURDENS|配置<LINE>增益和负担
Visit the <echo_location> Echo|拜访<echo_location>回响
Total Hidden Challenges: <num>|隐藏挑战：<num>
Total Wins as <slugcat>: <num>|<slugcat>总获胜场次：<num>
Total <type> Challenges: <num>|全部<type>挑战：<num>
Points to Next Level: <points>|达到下一个等级所需分数：<points>
START NEW<LINE>EXPEDITION|开始新<LINE>探险
ps4_expedition_slot_title|雨世界探险
ps4_expedition_core_title|雨世界探险核心
CHALLENGE DIFFICULTY|挑战难度
Completed Challenges|已完成挑战
Explosion Resistance|爆炸抗性
Challenges Completed:|已完成挑战：
RETRY<LINE>EXPEDITION|重新尝试<LINE>探险
- D E M O   M O D E -|-测试模式-
CONTINUE<LINE>MISSION|继续<LINE>使命
Perk Capacity: +<num>|增益量：+<num>
COMMENCE<LINE>MISSION|开始<LINE>使命
BURDENS|负担
Jetfish|喷射鱼
JUKEBOX|音乐盒
Jukebox|音乐盒
ABANDON|放弃
CYCLE :|雨循环：
KARMA :|业力：
BLINDED|失明
PURSUED|被追踪
neurons|神经元
Passage|通行证
Mission|使命
GENERAL|通用
Quests:|任务：
REWARDS|奖励
DISMISS|关闭
BURDENS|负担
KILLS|消灭
CLOSE|关闭
LEVEL|等级
EMPTY|空
PERKS|增益
PERKS|增益
Store <amount> <target_item> in the same shelter|在同一个庇护所存放<amount>个<target_item>
Successfully hibernate to finish this expedition|成功雨眠以完成本次探险
Looks To The Moon|仰望皓月
Brother Long Legs|劣化长肢腐瘤
Large Noodleflies|大面条蝇
Scavenger Lantern|拾荒者灯笼
Challenges: <num>|挑战：<num>
Total Wins: <num>|总获胜场次：<num>
Music: <songName>|音乐：<songName>
You feel the presence of a vista . . .|你感觉到了瞭望点的存在……
<region> pearl delivered to <iterator>|<region>珍珠送至<iterator>
Reach the vista point in <region_name>|到达<region_name>的瞭望点
E X P E D I T I O N    C O M P L E T E|探险完成
<Unlocked> of <Max> Tracks Unlocked|<Unlocked>/<Max>曲目已解锁
NEW!|新！
Yeek|跃客
EXIT|退出
EASY|简单
HARD|困难
BACK|返回
NEXT|下一个
Reach these milestones across multiple Expeditions:|通过多次探险达成这些里程碑：
Toggle which challenges can appear when randomising|切换随机化时可能出现的挑战
The Expedition will end upon entering the Depths...|探险将在进入深渊时结束……
Complete an Expedition with the following requirements:|在遵循以下需求的情况下完成一次探险：
